indicador,fuente,nombre,unidad,anio,region,region_nombre,est,li,ls,cobertura
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2017,2,Antofagasta,5.13,3.84,6.41,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2017,3,Atacama,7.91,6.05,9.78,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2017,4,Coquimbo,11.88,10.26,13.5,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2017,5,Valparaíso,7.1,6.3,7.91,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2017,6,O'Higgins,10.08,8.65,11.51,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2017,7,Maule,12.73,11.4,14.05,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2017,8,Biobío,12.32,10.93,13.7,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2017,9,La Araucanía,17.16,15.63,18.68,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2017,10,Los Lagos,11.7,10.06,13.34,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2017,11,Aysén,4.6,3.12,6.09,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2017,12,Magallanes,2.13,1.37,2.88,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2017,13,Metropolitana,5.37,4.73,6.01,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2017,14,Los Ríos,12.12,10.38,13.86,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2017,15,Arica y Parinacota,8.43,6.63,10.23,regional
casen_pobreza_comp,CASEN (MDSF),Pobreza por ingresos — serie comparable (%),%,2017,16,Ñuble,16.14,14.41,17.87,regional
