anio,indicador,etiqueta,nivel,est,se,li,ls,n
2016,rps,Robo por sorpresa,persona,5.252600717315,0.232580529252895,4.79675125647406,5.70845017815594,25227
2016,hur,Hurto,persona,9.64460377898487,0.301561042459811,9.05355499662329,10.2356525613465,25227
2016,les,Lesiones,persona,1.50171773997886,0.118315161552028,1.26982428451185,1.73361119544588,25227
2017,vh_dmcs,Hogar víctima de delito (DMCS),hogar,27.9529500840358,0.456468604450199,27.0582880592401,28.8476121088314,27616
2017,rfv,Robo con fuerza en la vivienda,hogar,5.08281222614597,0.219524383438262,4.65255234087861,5.51307211141332,27616
2017,rdv,Robo de vehículo (hogares con vehículo),hogar,1.4190058663898,0.143320720696126,1.13810241558706,1.69990931719253,14195
2017,rddv,Robo desde vehículo (hogares con vehículo),hogar,14.2034926520407,0.385295171926471,13.4483279916477,14.9586573124338,14195
2017,pad,Percepción: aumentó la delincuencia en el país,persona,80.7864912597473,0.406680440577699,79.9894122429982,81.5835702764965,27616
2017,rvi,Robo con violencia o intimidación,persona,6.17878719610772,0.262976214059859,5.6633632877597,6.69421110445574,27616
2017,rps,Robo por sorpresa,persona,5.17710944287692,0.253963248106374,4.67935062319161,5.67486826256222,27616
2017,hur,Hurto,persona,10.2039090654693,0.331032385457015,9.55509751225716,10.8527206186814,27616
2017,les,Lesiones,persona,1.90964541216193,0.155231352261124,1.60539755245868,2.21389327186519,27616
2018,vh_dmcs,Hogar víctima de delito (DMCS),hogar,25.3754930156527,0.45167708067261,24.4902222048922,26.2607638264132,27025
2018,rfv,Robo con fuerza en la vivienda,hogar,4.78266986599741,0.190690745210723,4.40892287319928,5.15641685879553,27025
2018,rdv,Robo de vehículo (hogares con vehículo),hogar,0.983721349579954,0.131303328780799,0.726371554119366,1.24107114504054,13913
2018,rddv,Robo desde vehículo (hogares con vehículo),hogar,11.6146725604965,0.408096942075176,10.8148172518283,12.4145278691648,13913
2018,pad,Percepción: aumentó la delincuencia en el país,persona,76.8417349171468,0.50704405646452,75.8479468279012,77.8355230063923,27025
2018,rvi,Robo con violencia o intimidación,persona,5.6112782591171,0.327103785316136,4.97016662069075,6.25238989754345,27025
2018,rps,Robo por sorpresa,persona,4.42885261484273,0.225407205361597,3.98706261047818,4.87064261920729,27025
2018,hur,Hurto,persona,9.6864011500285,0.254384564407282,9.18781656556732,10.1849857344897,27025
2018,les,Lesiones,persona,1.30604232065123,0.125624994316678,1.05982185623249,1.55226278506996,27025
2019,vh_dmcs,Hogar víctima de delito (DMCS),hogar,23.3416430522652,0.562486323402496,22.2391901166,24.4440959879304,24465
2019,rfv,Robo con fuerza en la vivienda,hogar,3.53159531210697,0.185920821221517,3.16719719853669,3.89599342567726,24465
2019,rdv,Robo de vehículo (hogares con vehículo),hogar,1.01397895743304,0.270792777084648,0.483234867073546,1.54472304779253,12190
2019,rddv,Robo desde vehículo (hogares con vehículo),hogar,10.5479478499095,0.620932738646077,9.33094204534139,11.7649536544777,12190
2019,pad,Percepción: aumentó la delincuencia en el país,persona,81.9999921202352,0.445527077909813,81.1267750933946,82.8732091470758,24465
2019,rvi,Robo con violencia o intimidación,persona,4.82010861193008,0.268507026241187,4.29384451090141,5.34637271295876,24465
2019,rps,Robo por sorpresa,persona,4.06547013414856,0.266609245847827,3.54292561434143,4.58801465395568,24465
2019,hur,Hurto,persona,8.99821775888379,0.38443896638415,8.24473123051705,9.75170428725052,24465
2019,les,Lesiones,persona,1.61557074063354,0.191350906842438,1.24052985481329,1.9906116264538,24465
2020,vh_dmcs,Hogar víctima de delito (DMCS),hogar,19.1738601014466,0.41263729333358,18.3651058678347,19.9826143350585,23656
2020,rfv,Robo con fuerza en la vivienda,hogar,3.01350399834759,0.163689399797308,2.69267867009389,3.33432932660129,23656
